titulo,precio,kilometros,año,combustible,ciudad,garantia,url
MERCEDES-BENZ Clase C C 220 d Estate 5p.,26500,113079,2018,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2018-en-barcelona-51523687-covo.aspx
MERCEDES-BENZ Clase C Coupe C 300 2p.,36800,49500,2019,2,Segovia,False,/mercedes-benz-clase-c-coupe-c-300-2p-gasolina-2019-en-segovia-51744226-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,16200,281000,2017,1,Baleares,False,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-baleares-51618684-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,36900,49900,2017,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-barcelona-50887595-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,37900,24864,2020,1,Barcelona,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-barcelona-50503960-covo.aspx
MERCEDES-BENZ Clase C C 200 d 4p.,38595,28606,2020,1,Madrid,True,/mercedes-benz-clase-c-c-200-d-4p-diesel-2020-en-madrid-51673280-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d AMG Line 2p.,17900,165500,2015,1,Toledo,True,/mercedes-benz-clase-c-c-coupe-220-d-amg-line-2p-diesel-2015-en-toledo-51648329-covo.aspx
MERCEDES-BENZ Clase C C 220 BlueTEC AMG Line 4p.,25500,72500,2014,1,Alicante,False,/mercedes-benz-clase-c-c-220-bluetec-amg-line-4p-diesel-2014-en-alicante-51791140-covo.aspx
MERCEDES-BENZ Clase C C 300 d 4p.,67900,10000,2021,4,Málaga,True,/mercedes-benz-clase-c-c-300-d-4p-electrico-hibrido-2021-en-malaga-51678440-covo.aspx
MERCEDES-BENZ Clase C C 200 Estate 5p.,32000,41000,2019,4,Pontevedra,False,/mercedes-benz-clase-c-c-200-estate-5p-electrico-hibrido-2019-en-pontevedra-51003429-covo.aspx
MERCEDES-BENZ Clase C C 200 4p.,35000,31800,2019,4,Lleida,False,/mercedes-benz-clase-c-c-200-4p-electrico-hibrido-2019-en-lleida-51791112-covo.aspx
MERCEDES-BENZ Clase C C Coupe 220 d 2p.,33400,73000,2016,1,Pontevedra,True,/mercedes-benz-clase-c-c-coupe-220-d-2p-diesel-2016-en-pontevedra-51604011-covo.aspx
MERCEDES-BENZ Clase C C 200 4p.,38900,33000,2020,4,Málaga,True,/mercedes-benz-clase-c-c-200-4p-electrico-hibrido-2020-en-malaga-51376206-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,37500,56826,2018,1,Valladolid,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2019-en-valladolid-51138975-covo.aspx
MERCEDES-BENZ Clase C C 180 4p.,36900,24940,2020,2,Castellón,True,/mercedes-benz-clase-c-c-180-4p-gasolina-2020-en-castellon-50498286-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,55154,9500,2021,1,Zamora,True,/km-0/mercedes-benz/clase_c/zamora/c_220_d_estate-diesel-de-demostracion-51720221-devn.aspx
MERCEDES-BENZ Clase C C 200 4p.,34490,41875,2019,4,Jaén,True,/mercedes-benz-clase-c-c-200-4p-electrico-hibrido-2019-en-jaen-51686358-covo.aspx
MERCEDES-BENZ Clase C C 220 CDI 4p.,17900,144832,2014,1,Málaga,True,/mercedes-benz-clase-c-c-220-cdi-4p-diesel-2013-en-malaga-51290747-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,23850,93021,2018,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2019-en-madrid-51381250-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,24990,113456,2017,1,Sevilla,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2017-en-sevilla-51209571-covo.aspx
MERCEDES-BENZ Clase C Cabrio C 300 2p.,43900,20500,2019,2,Murcia,False,/mercedes-benz-clase-c-cabrio-c-300-2p-gasolina-2019-en-murcia-51789092-covo.aspx
MERCEDES-BENZ Clase C MercedesAMG C 43 4MATIC Estate 5p.,46950,56000,2019,2,Albacete,True,/mercedes-benz-clase-c-mercedesamg-c-43-4matic-estate-5p-gasolina-2019-en-albacete-49339114-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4MATIC Estate 5p.,21900,128000,2017,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4matic-estate-5p-diesel-2017-en-madrid-51752257-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,31900,55300,2018,1,Valencia,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2018-en-valencia-51679945-covo.aspx
MERCEDES-BENZ Clase C C 200 d Estate 5p.,28490,88950,2019,1,Valladolid,True,/mercedes-benz-clase-c-c-200-d-estate-5p-diesel-2019-en-valladolid-51788834-covo.aspx
MERCEDES-BENZ Clase C C 200 d Estate 5p.,28490,88950,2019,1,Toledo,True,/mercedes-benz-clase-c-c-200-d-estate-5p-diesel-2019-en-toledo-51660315-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,26900,82006,2018,1,Barcelona,True,/mercedes-benz-clase-c-c-220-d-estate-5p-diesel-2018-en-barcelona-51473747-covo.aspx
MERCEDES-BENZ Clase C C 220 d Sportive AMG 4p.,27900,99000,2016,1,A Coruña,True,/mercedes-benz-clase-c-c-220-d-sportive-amg-4p-diesel-2016-en-a_coruna-51788381-covo.aspx
MERCEDES-BENZ Clase C C 350 e Estate 5p.,29900,40000,2017,5,Málaga,True,/mercedes-benz-clase-c-c-350-e-estate-5p-electrico-hibrido-2017-en-malaga-50916661-covo.aspx
MERCEDES-BENZ Clase C C 220 d Estate 5p.,23800,145000,2017,1,Madrid,True,/mercedes-benz-clase-c-c-220-d-4matic-estate-diesel-2017-en-madrid-51173537-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,27950,55290,2017,1,Valencia,True,/mercedes-benz-clase-c-c-220-d-4p-diesel-2017-en-valencia-51672450-covo.aspx
MERCEDES-BENZ Clase C C 180 4p.,36900,33296,2021,2,La Rioja,True,/mercedes-benz-clase-c-c-180-4p-gasolina-2021-en-la_rioja-51478322-covo.aspx
MERCEDES-BENZ Clase C C 220 d 4p.,54600,1520,2021,4,Huelva,True,/km-0/mercedes-benz/clase_c/huelva/c_220_d-electrico-hibrido-de-demostracion-51737778-devn.aspx
MERCEDES-BENZ Clase C C 220 BlueTEC AMG Line 4p.,23490,135000,2014,1,Madrid,True,/mercedes-benz-clase-c-c-220-bluetec-amg-line-4p-diesel-2014-en-madrid-51562106-covo.aspx
